course_title	url	level	main_subject	specific_subject
Canva Graphics Design Essential Training For Everyone	https://www.udemy.com/canva-graphics-design-essential-training/	All Levels	Graphic Design	Canva
Triangulated Bird: Origami Styled Bird in Adobe Illustrator	https://www.udemy.com/triangulated-bird-origami-styled-bird-in-adobe-illustrator/	Intermediate Level	Graphic Design	Drawing
Photoshop for Entrepreneurs - Design 11 Practical Projects	https://www.udemy.com/photoshop-for-entrepreneurs/	All Levels	Graphic Design	Photoshop
Anatomy for Figure Drawing: Mastering the Human Figure	https://www.udemy.com/anatomy-for-figure-drawing-and-comics/	All Levels	Graphic Design	Drawing
Sketch 3 from A to Z: Become an App Designer	https://www.udemy.com/learnsketch3/	All Levels	Graphic Design	Drawing
How to Design a Logo - a Beginners Course	https://www.udemy.com/how-to-design-a-logo-a-beginners-course/	All Levels	Graphic Design	Logo Design
Logo Design Masterclass: Learn Logo Design + Illustrator	https://www.udemy.com/become-a-professional-logo-designer/	All Levels	Graphic Design	Logo Design
How to Draw and Sketch for Beginners	https://www.udemy.com/drawing-and-sketching-for-beginners/	Beginner Level	Graphic Design	Drawing
Canva Graphics Design for Entrepreneurs - Design 11 Projects	https://www.udemy.com/canva-graphic-design-course/	All Levels	Graphic Design	Canva
Vector Logo Design in Affinity Designer	https://www.udemy.com/logoaffinitydesigner/	All Levels	Graphic Design	Logo Design
How To Create A Low Poly Portrait With The Pen Tool	https://www.udemy.com/how-to-create-a-low-poly-portrait-with-the-pen-tool-adobe-illustrator/	Beginner Level	Graphic Design	Graphics
Photo Editing in Photoshop - Beginner to Advanced in 1 Hour	https://www.udemy.com/photoshop-photo-editing/	Beginner Level	Graphic Design	Photoshop
How to Create Kindle & Ebook Covers with Canva	https://www.udemy.com/professional-kindle-ebooks-covers-canva-amazon-ibook-store-covers/	Beginner Level	Graphic Design	Canva
How To Make Professional eBook Covers For FREE	https://www.udemy.com/kindle-millionare-learn-how-to-make-ebook-covers-like-a-pro/	All Levels	Graphic Design	Graphics
Design Business Card in Photoshop: Earn Money by Doing It	https://www.udemy.com/design-business-card-in-photoshop-earn-money-by-doing-it/	Beginner Level	Graphic Design	Photoshop
Learn to create beautiful web interfaces and logos	https://www.udemy.com/how-to-create-beautiful-web-designs/	All Levels	Graphic Design	Logo Design
Illustrated Logo Design	https://www.udemy.com/how-to-design-illustration-logos/	Intermediate Level	Graphic Design	Logo Design
Color Basics for Print Designers	https://www.udemy.com/color-basics-for-print-designers/	All Levels	Graphic Design	Drawing
Digital Photo Manipulation Art And Cover Design In PhotoShop	https://www.udemy.com/digital-photo-manipulation-art-and-cover-design-in-photoshop/	Beginner Level	Graphic Design	Photoshop
Drawing Perspective For Beginners	https://www.udemy.com/perspective-drawing-101/	All Levels	Graphic Design	Drawing
Adobe InDesign CC Advanced	https://www.udemy.com/adobe-indesign-cc-advanced/	Expert Level	Graphic Design	InDesign
Intro to Photoshop for Merch by Amazon	https://www.udemy.com/intro-to-photoshop-for-merch-by-amazon/	Beginner Level	Graphic Design	Photoshop
How to Doodle: Basics and Lettering	https://www.udemy.com/how-to-doodle-basics-and-lettering/	All Levels	Graphic Design	Drawing
Mastering Photoshop CC 2017 - The Art of Design & Technology	https://www.udemy.com/mastering-basics-of-photoshopcc-a-complete-beginners-guide/	All Levels	Graphic Design	Photoshop
Design a logo for FREE in Inkscape	https://www.udemy.com/logoinkscape/	All Levels	Graphic Design	Logo Design
Photoshop CC 2015 Top New Features	https://www.udemy.com/photoshop-cc-2015-top-new-features/	All Levels	Graphic Design	Photoshop
Expert Guide : Mastering Types feature in illustrator !	https://www.udemy.com/mastering-types-in-illustrator/	All Levels	Graphic Design	Illustrator
Cartoon Game Logo Design using Photoshop	https://www.udemy.com/cartoon-game-logo-design-using-photoshop/	All Levels	Graphic Design	Logo Design
Most Wanted Flat Design Techniques #2: Hipster Businessman	https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-hipster-businessman/	Intermediate Level	Graphic Design	Drawing
All-in-One Premium Design Course - Scratch to Pro+ Edition	https://www.udemy.com/worldclass-graphic-design/	All Levels	Graphic Design	Graphics
Typography 101: Picking the Right Fonts for Business Success	https://www.udemy.com/typography-fonts-business/	Beginner Level	Graphic Design	Graphics
Editorial Illustration Tutorial: From Drawing to Photoshop	https://www.udemy.com/editorial-illustration-illuminating-the-written-word/	All Levels	Graphic Design	Photoshop
Kindle eBook Cover Design and Book Illustration Guide	https://www.udemy.com/kindle-ebook-cover-design/	All Levels	Graphic Design	Graphics
Removing Backgrounds From Images using Adobe Photoshop	https://www.udemy.com/removing-backgrounds-from-images-using-adobe-photoshop/	All Levels	Graphic Design	Photoshop
Graphic Design Secrets Revealed	https://www.udemy.com/design-like-a-pro-graphic-design-fundamentals/	All Levels	Graphic Design	Drawing
Drawing in Perspective	https://www.udemy.com/drawing-in-perspective/	All Levels	Graphic Design	Drawing
"Digital Art in Adobe Illustrator CC: Angry Bird, Tom & Jerry"	https://www.udemy.com/adobe-illustrator-cc-course/	Beginner Level	Graphic Design	Illustrator
Inkscape For Beginners 2016/2017	https://www.udemy.com/udemy-master-inkscape-beginner-course-20162017-unofficial/	All Levels	Graphic Design	Inkscape
Make yourself a Santa Claus: Photoshop Manipulation	https://www.udemy.com/make-your-self-a-santa-claus-merry-christmas/	All Levels	Graphic Design	Photoshop
Become an InDesign Pro in 10 Skills	https://www.udemy.com/become-an-indesign-pro-in-10-skills/	Beginner Level	Graphic Design	InDesign
Digital Illustration: Make A Custom Character Illustration	https://www.udemy.com/digital-illustration/	All Levels	Graphic Design	Drawing
Learn Basics Of Adobe Illustrator	https://www.udemy.com/learn-basics-of-adobe-illustrator-under-30-minutes/	Beginner Level	Graphic Design	Illustrator
Discover the 7 Secrets to Figure Drawing: Draw Awesome ...	https://www.udemy.com/how-to-draw-the-human-figure-10-hours/	All Levels	Graphic Design	Drawing
LOGO DESIGN IN POWERPOINT	https://www.udemy.com/logo-design-in-powerpoint-create-logos/	Beginner Level	Graphic Design	Logo Design
Photoshop CC MasterClass	https://www.udemy.com/photoshop-cc-masterclass/	All Levels	Graphic Design	Photoshop
Become A Logo Designer 	https://www.udemy.com/become-a-logo-designer/	All Levels	Graphic Design	Logo Design
Learn Illustrator By Recreating Top 3 Logos - Beginner Guide	https://www.udemy.com/learn-illustrator/	Beginner Level	Graphic Design	Illustrator
Illustrative Surface Patterns Design : From Life To Products	https://www.udemy.com/illustrative-surface-patterns-design-from-life-moments-to-products/	All Levels	Graphic Design	Graphics
Effective iOS & Android App Icon Design	https://www.udemy.com/effective-ios-android-app-icon-design/	Beginner Level	Graphic Design	Graphics
Creating an animated greeting card via Google Slides	https://www.udemy.com/creating-an-animated-greeting-card-via-google-slides/	Beginner Level	Graphic Design	Photoshop
Photoshop: Learn Digital Painting Basics in Photoshop	https://www.udemy.com/photoshop-painting-tutorial/	Beginner Level	Graphic Design	Photoshop
Learning Photoshop CC 2014 in Egyptian Arabic 	https://www.udemy.com/photoshop-egyptian-arabic/	All Levels	Graphic Design	Photoshop
Make tech circles in Photoshop in 30 minutes!	https://www.udemy.com/learn-to-make-fancy-tech-circles-in-photoshop-in-30-minutes/	All Levels	Graphic Design	Photoshop
Graphic design - The Quick Guide	https://www.udemy.com/graphic-design-the-quick-guide/	Beginner Level	Graphic Design	Graphics
Make tech circles in Adobe Illustrator in 30 minutes	https://www.udemy.com/make-tech-circles-in-adobe-illustrator-in-30-minutes/	All Levels	Graphic Design	Illustrator
Easy Illustration and 2D Animation	https://www.udemy.com/easy-illustration-and-2d-animation/	All Levels	Graphic Design	Graphics
Canva: Design Album Cover Artwork in Minutes - No More Fees!	https://www.udemy.com/canva-make-album-covers-for-free/	Beginner Level	Graphic Design	Canva
Getting Started With Photoshop CC	https://www.udemy.com/getting-started-with-photoshop-cc2/	Beginner Level	Graphic Design	Photoshop
Learn Adobe Photoshop in 1 Hour	https://www.udemy.com/learn-adobe-photoshop-in-1-hour/	All Levels	Graphic Design	Photoshop
Learn Comic Book Color Flatting! (Coloring Assistant role)	https://www.udemy.com/flatting/	Beginner Level	Graphic Design	Graphics
Illustrator - Creating stylised images from a photo	https://www.udemy.com/illustrator-free-creating-stylised-images-from-a-photo-using-trace/	All Levels	Graphic Design	Illustrator
Gimp In-Depth Essential Training Course: Free Photoshop Alt.	https://www.udemy.com/gimp-in-depth-essential-training-course/	All Levels	Graphic Design	Photoshop
Learning Photoshop CC 2015	https://www.udemy.com/learning-photoshop-cc-2015/	All Levels	Graphic Design	Photoshop
Create Awesome Ebook Covers Using Microsoft Word	https://www.udemy.com/ebook-cover-creator/	All Levels	Graphic Design	Graphics
Photoshop Essentials: Designing FaceBook Graphics	https://www.udemy.com/photoshop-for-beginners-facebook-cover/	Beginner Level	Graphic Design	Photoshop
Advance Learning Tools Corel Draw Graphics Design	https://www.udemy.com/advance-learning-tools-corel-draw-graphics-design/	Beginner Level	Graphic Design	Graphics
Creating an animated greeting card via Google Slides	https://www.udemy.com/creating-an-animated-greeting-card-via-google-slides-2/	Beginner Level	Graphic Design	Graphics
Logo Design for Entrepreneurs 	https://www.udemy.com/introduction-to-logo-design/	Beginner Level	Graphic Design	Logo Design
Sketch 3: Design a mobile application from scratch	https://www.udemy.com/mobile-app-design/	All Levels	Graphic Design	Drawing
Draw a Kitten	https://www.udemy.com/draw-a-kitten/	All Levels	Graphic Design	Drawing
Adobe Photoshop Essentials: Master Adobe Photoshop CS6	https://www.udemy.com/adobe-photoshop-cs6-essentials-how-to-use-photoshop/	Beginner Level	Graphic Design	Photoshop
Book Design With MS Word And Canva 	https://www.udemy.com/boost-your-sales-with-diy-design-for-non-techy-entrepreneurs/	All Levels	Graphic Design	Canva
Learn to Design a Letterhead - A Beginners Course	https://www.udemy.com/learn-to-design-a-letterhead/	All Levels	Graphic Design	Drawing
Creating Icons with Adobe Illustrator	https://www.udemy.com/creating-icons-with-illustrator/	All Levels	Graphic Design	Illustrator
Create Stunning Infographics to Share your Ideas	https://www.udemy.com/infographic/	Beginner Level	Graphic Design	Graphics
How to stylize your photos in Photoshop with color overlays	https://www.udemy.com/how-to-stylize-your-photos-in-photoshop-with-color-overlays/	Beginner Level	Graphic Design	Photoshop
Business Card and Letterhead Design in Adobe Illustrator	https://www.udemy.com/stationery/	All Levels	Graphic Design	Illustrator
A Complete Guide to Successful Freelance Logo Design Career	https://www.udemy.com/be-a-successful-logo-designer/	All Levels	Graphic Design	Freelance
The Logo Design Process From Start To Finish	https://www.udemy.com/the-logo-design-process-from-start-to-finish/	All Levels	Graphic Design	Logo Design
Creative logo design with Inkscape for free	https://www.udemy.com/logo-design-with-inkscape-for-free/	All Levels	Graphic Design	Logo Design
Typography Fundamentals - Feel confident with type!	https://www.udemy.com/typography-crash-course/	Beginner Level	Graphic Design	Graphics
How To Sell Your Art Online With ETSY	https://www.udemy.com/how-to-sell-your-art-online-on-etsy/	Beginner Level	Graphic Design	Freelance
Professional Logo Design in Adobe Illustrator	https://www.udemy.com/professional-logo-design-crash-course/	All Levels	Graphic Design	Illustrator
Learn UI/UX and Mobile App Design in Photoshop from Scratch	https://www.udemy.com/learn-uiux-and-mobile-app-design-in-photoshop-from-scratch/	All Levels	Graphic Design	Photoshop
Mastering Photoshop: From Beginner to Industry Professional	https://www.udemy.com/photoshop-tricks-tips-and-techniques/	Intermediate Level	Graphic Design	Photoshop
Expert Retina / HiDPI Graphics in Photoshop & Illustrator	https://www.udemy.com/mastering-retina-graphics/	All Levels	Graphic Design	Photoshop
Start Making Comics with Manga Studio 5 / Clip Studio Paint	https://www.udemy.com/start-making-comics/	All Levels	Graphic Design	Graphics
Most Wanted Flat Design Techniques #1: Desert Island	https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-desert-island/	Intermediate Level	Graphic Design	Drawing
Photoshop Quickstart Guide to Digital Sketching	https://www.udemy.com/photoshop-quickstart-guide-to-digital-sketching/	Beginner Level	Graphic Design	Photoshop
Gestalt Principles & Pattern Design : Create Festive Pattern	https://www.udemy.com/gestalt-principles-surface-pattern-design-create-festive-pattern/	All Levels	Graphic Design	Graphics
Logo Design - Design a Logo in Photoshop for beginners	https://www.udemy.com/logo-design-photoshop/	Beginner Level	Graphic Design	Logo Design
Advanced Features in Adobe Illustrator	https://www.udemy.com/advanced-features-in-adobe-illustrator/	Intermediate Level	Graphic Design	Illustrator
"YOU can Draw, Shade and Paint a Mixed Media Girl...today!"	https://www.udemy.com/paint-a-mixed-media-girl/	Beginner Level	Graphic Design	Drawing
Photoshop | GIMP: Quick & Easy Image Hacks for Beginners	https://www.udemy.com/photoshop-gimp-spotlight-top-image-hacks-you-need-to-know/	Beginner Level	Graphic Design	Photoshop
Learn Photoshop CC Essentials	https://www.udemy.com/learn-photoshop-cc-essentials/	Beginner Level	Graphic Design	Photoshop
Mobile App Design: From Beginner to Intermediate	https://www.udemy.com/mobile-app-design-from-beginner-to-intermediate/	All Levels	Graphic Design	Graphics
Text based Logo Design for Business Using Adobe Photoshop	https://www.udemy.com/text-based-logo-design-using-adobe-photoshop/	All Levels	Graphic Design	Logo Design
Graphic Design for Entrepreneurs...Who Can't Draw	https://www.udemy.com/graphic-design-for-entrepreneurs/	Beginner Level	Graphic Design	Freelance
BUSINESS CARD DESIGN IN POWERPOINT	https://www.udemy.com/design-flat-business-cards-in-powerpoint/	Beginner Level	Graphic Design	Graphics
Bring your sketch to life - learn digital illustration	https://www.udemy.com/digital-illustration-with-illustrator-and-photoshop/	Beginner Level	Graphic Design	Graphics
The Art of Icon Design: Create Custom Flat Icon Designs	https://www.udemy.com/the-art-of-icon-design-create-custom-flat-icon-designs/	All Levels	Graphic Design	Graphics
Design Tickets and Vouchers in Photoshop and Illustrator	https://www.udemy.com/design-tickets-and-vouchers-in-photoshop-and-illustrator/	Beginner Level	Graphic Design	Photoshop
Master Adobe Photoshop Lightroom CC - From Beginner to Advan	https://www.udemy.com/master-adobe-photoshop-lightroom-cc-from-beginner-to-advan/	Beginner Level	Graphic Design	Photoshop
Digital Painting for Cartoon Characters	https://www.udemy.com/digital-painting-for-cartoon-characters/	All Levels	Graphic Design	Graphics
Create Animated Gif Advertising Banners in Photoshop CC	https://www.udemy.com/learn-how-to-create-animated-gif-advertising-banners-in-photoshop-cc/	All Levels	Graphic Design	Photoshop
Adobe - Create a professional logo step-by-step (Beauty)	https://www.udemy.com/adobe-create-a-professional-logo-step-by-step-beauty/	All Levels	Graphic Design	Logo Design
Learn Adobe Illustrator CC - All Essentials In 1 Hour!	https://www.udemy.com/learn-adobe-illustrator-cc-all-essentials-in-1-hour/	Beginner Level	Graphic Design	Illustrator
App Design + Web Design + Photoshop = Combined Course	https://www.udemy.com/photoshop-superhero/	Beginner Level	Graphic Design	Freelance
Adobe Illustrator CC for beginners	https://www.udemy.com/illustrator-cc-real-world-projects-for-beginners/	Beginner Level	Graphic Design	Illustrator
Complete Portrait and Figure Drawing (step-by-step)	https://www.udemy.com/complete-portrait-and-figure-drawing-step-by-step/	All Levels	Graphic Design	Drawing
Adobe Illustrator: Learn Easy Logo Design.	https://www.udemy.com/logo-design-in-adobe-illustrator/	All Levels	Graphic Design	Illustrator
Create Beautiful Compelling Social Media Banners With Canva	https://www.udemy.com/stunning-images-for-social-media-with-canva/	Beginner Level	Graphic Design	Canva
Become a Professional Logo Designer	https://www.udemy.com/become-a-professional-logo-designer-w/	All Levels	Graphic Design	Freelance
Learn Photoshop Actions - Save time with repetitive tasks	https://www.udemy.com/photoshop-actions-increase-your-efficiency/	Intermediate Level	Graphic Design	Photoshop
Essential Skills for Designers - Masking	https://www.udemy.com/photoshop-masking/	All Levels	Graphic Design	Graphics
Mastering Photoshop Elements 13 Made Easy Training Tutorial	https://www.udemy.com/mastering-photoshop-elements-13-made-easy-training-tutorial/	Beginner Level	Graphic Design	Photoshop
"Become a Graphic Designer, and earn a living from it"	https://www.udemy.com/become-a-graphic-designer-and-earn-a-living-from-it/	All Levels	Graphic Design	Freelance
Learn 2D Cell Shading in Photoshop	https://www.udemy.com/3dmotive-learn-2d-cell-shading-in-photoshop/	Intermediate Level	Graphic Design	Photoshop
Adobe Illustrator For Everyone: Create Detailed Vector Image	https://www.udemy.com/how-to-create-your-own-steampunk-vehicle-part-1/	All Levels	Graphic Design	Illustrator
Learn Digital Drawing in Photoshop	https://www.udemy.com/digital-drawing-in-photoshop/	All Levels	Graphic Design	Photoshop
Quickly Batch Export & Package Logo Files for Clients	https://www.udemy.com/quickly-batch-export-package-logo-files-for-clients/	Intermediate Level	Graphic Design	Logo Design
Logo Design for Everybody	https://www.udemy.com/logo-design-for-everybody/	Beginner Level	Graphic Design	Logo Design
Logo Portfolio in 1 Hour in Wordpress	https://www.udemy.com/logoportfolio/	All Levels	Graphic Design	Logo Design
Complete Digital Painting Training with Corel Painter	https://www.udemy.com/digital-portrait-painting/	All Levels	Graphic Design	Corel
How to Design Simple Promotional Materials in Photoshop	https://www.udemy.com/how-to-design-simple-promotional-materials-in-photoshop/	Beginner Level	Graphic Design	Photoshop
Adobe Illustrator: Create a Quick & Easy Unique Illustration	https://www.udemy.com/create-quick-easy-original-illustrations-in-illustrator/	Beginner Level	Graphic Design	Illustrator
Learn to Design a Logo in Adobe Illustrator	https://www.udemy.com/learn-to-design-a-logo-in-adobe-illustrator/	All Levels	Graphic Design	Illustrator
Portrait Typography in Photoshop - Anyone can do Typography	https://www.udemy.com/portrait-typography-in-photoshop-anyone-can-do-typography/	All Levels	Graphic Design	Photoshop
Photoshop Fantastic! - The Comprehensive Guide to Photoshop	https://www.udemy.com/photoshopfantastic/	All Levels	Graphic Design	Photoshop
Graphic Design: Double Your Sales With Canva	https://www.udemy.com/canva-marketing/	All Levels	Graphic Design	Canva
Adobe Illustrator Advanced Vector Artwork	https://www.udemy.com/adobe-illustrator-advance-vector-artwork/	All Levels	Graphic Design	Illustrator
Web Elements Design With Photoshop	https://www.udemy.com/web-elements-design-with-photoshop/	All Levels	Graphic Design	Photoshop
Logo Design Made Easy: Create your own logo in PowerPoint	https://www.udemy.com/logodesignmadeeasy/	Beginner Level	Graphic Design	Logo Design
Lettering	https://www.udemy.com/saibala-lettering/	All Levels	Graphic Design	Drawing
Corel Draw x7	https://www.udemy.com/coreldrawx7/	All Levels	Graphic Design	Corel
Create your own Photoshop brush preset!	https://www.udemy.com/create-autumn-leaf-brushes/	Beginner Level	Graphic Design	Photoshop
Finalize Production Files | Photoshop Illustrator InDesign	https://www.udemy.com/finalize-production-files/	All Levels	Graphic Design	InDesign
Mastering Photoshop Elements 15 Made Easy Training Tutorial	https://www.udemy.com/mastering-photoshop-elements-15-made-easy-training-tutorial/	Beginner Level	Graphic Design	Photoshop
Learn to Draw Pretty Faces for Comic Books	https://www.udemy.com/learn-to-draw-pretty-faces-for-comic-books/	Beginner Level	Graphic Design	Drawing
The Business Graphic Design with Photoshop & Illustrator	https://www.udemy.com/businessgraphicdesign/	All Levels	Graphic Design	Photoshop
Bestseller!! Learn Illustrator CC in 1 Hour	https://www.udemy.com/1hourillustrator/	Beginner Level	Graphic Design	Illustrator
Learn Professional Book-Cover Designing Photoshop 4 Beginner	https://www.udemy.com/learn-professional-book-cover-designing-photoshop/	Beginner Level	Graphic Design	Photoshop
How To Make Graphics For A Website	https://www.udemy.com/how-to-make-graphics-for-a-website/	All Levels	Graphic Design	Graphics
Adobe Illustrator: How to Draw Squared Animals Icons	https://www.udemy.com/adobe-illustrator-how-to-draw-squared-animals-icons/	Beginner Level	Graphic Design	Illustrator
Book Covers and Graphic Design with PowerPoint 2013/2016/365	https://www.udemy.com/book-cover-design-with-microsoft-powerpoint-2013/	Beginner Level	Graphic Design	Graphics
Getting Started With Digital Painting Using Krita	https://www.udemy.com/getting-started-with-digital-painting-using-krita/	Beginner Level	Graphic Design	Graphics
Logo Design - Guide to Logo Design in Photoshop	https://www.udemy.com/graphic-design-mastering-logo-design/	All Levels	Graphic Design	Logo Design
Logo Design Essentials 	https://www.udemy.com/logo-design/	All Levels	Graphic Design	Logo Design
Fundamentals of Character Design: From Concept to Vector	https://www.udemy.com/fundamentals-of-character-design-from-concept-to-vector/	Beginner Level	Graphic Design	Drawing
"Whiteboard Animation, Beginner To Expert - In 1 Hour!"	https://www.udemy.com/whiteboardanimation/	All Levels	Graphic Design	Drawing
Drawing Fun Caricatures! :) -The Best Method!	https://www.udemy.com/caricature/	All Levels	Graphic Design	Drawing
Advanced Graphic Design-Photoshop CC 2014 for Photographers	https://www.udemy.com/advanced-graphic-design-photoshop-cc-2014-for-photographers/	All Levels	Graphic Design	Photoshop
InDesign Basics for Beginners: Learn InDesign Quickly	https://www.udemy.com/indesign-basics-how-to-use-indesign-like-a-pro/	Beginner Level	Graphic Design	InDesign
Adobe Illustrator CC Beginner	https://www.udemy.com/adobe-illustrator-beginner/	Beginner Level	Graphic Design	Illustrator
Create Beveled Lettering in Adobe Illustrator	https://www.udemy.com/create-beveled-lettering/	Intermediate Level	Graphic Design	Illustrator
Learn Mobile App Design in Photoshop	https://www.udemy.com/design-iosandroid-icons/	Beginner Level	Graphic Design	Photoshop
Adobe Illustrator Fast Track	https://www.udemy.com/adobe-illustrator-fast-track/	Beginner Level	Graphic Design	Illustrator
How to Design A 2D Character in Illustrator	https://www.udemy.com/2d-character-in-illustrator/	Beginner Level	Graphic Design	Illustrator
Adobe Photoshop CC for Photographers Advanced	https://www.udemy.com/adobe-photoshop-cc-for-photographers-advanced/	Expert Level	Graphic Design	Photoshop
Adobe InDesign Tips and Tricks	https://www.udemy.com/adobe-indesign-best-tutorials/	All Levels	Graphic Design	InDesign
Beginner's Guide to Book Cover Designing.	https://www.udemy.com/beginners-guide-to-book-cover-designing/	Beginner Level	Graphic Design	Graphics
Events Promotion Design	https://www.udemy.com/eventspromotiondesign/	Intermediate Level	Graphic Design	Graphics
Adobe Photoshop CC Introduction	https://www.udemy.com/adobe-photoshop-cc-introduction/	Beginner Level	Graphic Design	Photoshop
Adobe Illustrator in Under 10: Fast info at your Fingertips!	https://www.udemy.com/illustratorunder10/	All Levels	Graphic Design	Illustrator
An Easy Introduction to Adobe Photoshop	https://www.udemy.com/an-easy-introduction-to-adobe-photoshop/	Beginner Level	Graphic Design	Photoshop
Learn to Create Deliverable Brand Identity Package	https://www.udemy.com/learn-to-create-deliverable-brand-identity-package/	All Levels	Graphic Design	Freelance
How to Draw Pinups and Sexy Women	https://www.udemy.com/how-to-draw-pinups/	Intermediate Level	Graphic Design	Drawing
Design & Create Text Logos in Adobe Photoshop CS5	https://www.udemy.com/learn-how-to-design-create-text-logos-in-adobe-photoshop-cs5/	All Levels	Graphic Design	Photoshop
Freelancing A-Z: How To Start A Successful Freelance Career	https://www.udemy.com/freelance-freelancer-freelancing-freelance-web-designer/	All Levels	Graphic Design	Freelance
Character Concept Design for Beginners	https://www.udemy.com/character-concept-design-from-beginner-to-pro/	All Levels	Graphic Design	Drawing
Icon & Logo Symbol Design in Adobe Illustrator	https://www.udemy.com/icondesign/	All Levels	Graphic Design	Logo Design
How to Draw Majestic Animals: Cats	https://www.udemy.com/draw-majestic-cats/	All Levels	Graphic Design	Drawing
Photoshop CC 2017 Full Course	https://www.udemy.com/photoshop-cc-2017-full-course/	Beginner Level	Graphic Design	Photoshop
How To Become An Etsy Wholesale Seller	https://www.udemy.com/how-to-become-an-etsy-wholesale-seller/	Beginner Level	Graphic Design	Freelance
Learn Adobe InDesign from Scratch	https://www.udemy.com/learn-adobe-indesign-from-scratch/	Beginner Level	Graphic Design	InDesign
Photoshop Tools 101	https://www.udemy.com/photoshoptools101/	All Levels	Graphic Design	Photoshop
How to create gif animation in photoshop	https://www.udemy.com/how-to-create-gif-animation-in-photoshop/	All Levels	Graphic Design	Photoshop
How to Color Comic Books... with a Mouse	https://www.udemy.com/how-to-color-comic-books-with-a-mouse/	All Levels	Graphic Design	Graphics
Bestseller! Learn Photoshop in 1 Hour (No Experience Needed)	https://www.udemy.com/learn-photoshop-in-one-hour-no-experience-needed/	Beginner Level	Graphic Design	Photoshop
How To Design A Fortune 500 Logo in Illustrator	https://www.udemy.com/logo-logo-design-logos-logo-maker-graphic-design-logo-creator/	Intermediate Level	Graphic Design	Logo Design
Canva : Graphic Design Theory Volume2	https://www.udemy.com/canva-course-graphic-design-theory-in-social-media-volume-2/	All Levels	Graphic Design	Canva
Canva : Book Cover Design	https://www.udemy.com/canva-book-cover-design/	Beginner Level	Graphic Design	Canva
The Complete Figure Drawing Course HD	https://www.udemy.com/the-complete-figure-drawing-course-hd/	Beginner Level	Graphic Design	Drawing
Mastering Logo Design - 20 Projects step-by-step	https://www.udemy.com/mastering-logo-designing-20-projects-step-by-step/	All Levels	Graphic Design	Logo Design
Graphic Design: Create Animated GIF Ad Banners in Photoshop	https://www.udemy.com/create-cool-animated-gif-advertising-banners-with-photoshop/	All Levels	Graphic Design	Photoshop
Master Manga Studio 5: Bonus Drawing and Painting	https://www.udemy.com/master-manga-studio-5/	All Levels	Graphic Design	Drawing
Learn To Draw - The COMIC BOOK STYLE	https://www.udemy.com/learn-to-draw/	All Levels	Graphic Design	Drawing
48 Logo Designs and Techniques	https://www.udemy.com/professional-logo-design-vol-2/	All Levels	Graphic Design	Logo Design
Photoshop JumpStart	https://www.udemy.com/photoshop-jumpstart/	Beginner Level	Graphic Design	Photoshop
How To Sell Practically Anything: Professional Design Mockup	https://www.udemy.com/how-to-sell-practically-anything-professional-design-mockup/	All Levels	Graphic Design	Freelance
Course Bundle | Exploring Art : Silhouette & Linear Line Art	https://www.udemy.com/course-bundle-exploring-art-silhouette-linear-line-art/	All Levels	Graphic Design	Drawing
Canva: Design and Sell Your Own Professional Canva Designs	https://www.udemy.com/canva-design-and-sell-your-own-professional-graphic-designs/	All Levels	Graphic Design	Canva
How to Design a Logo in Adobe Illustrator	https://www.udemy.com/logoworkshop/	All Levels	Graphic Design	Logo Design
Illustrator CC: Design and drawing from scratch to expert!	https://www.udemy.com/illustrator-cc-design-and-drawing-from-scratch-to-expert/	Beginner Level	Graphic Design	Illustrator
Logo design: How To Design an Awesome Logo in Illustrator	https://www.udemy.com/designing-logos-learning-illustrator/	All Levels	Graphic Design	Logo Design
Photoshop: Real World Hands-on Freelance Mastery	https://www.udemy.com/photoshop-real-world-hands-on-graphic-and-web-design/	All Levels	Graphic Design	Photoshop
Graphic Design: Beginner's Graphic Design Guide to Photoshop	https://www.udemy.com/how-to-use-adobe-photoshop-for-beginners/	All Levels	Graphic Design	Photoshop
Design your own Social Media Logo Icons in Adobe Illustrator	https://www.udemy.com/design-social-media-logo-icons-in-adobe-illustrator/	Beginner Level	Graphic Design	Illustrator
Motion Graphic With After Effect From Scratch in 5 Hours	https://www.udemy.com/motion-graphic-with-ae/	All Levels	Graphic Design	Graphics
Introduction to Photoshop CC: Tutorials for Beginners	https://www.udemy.com/introduction-to-photoshop-cc-tutorials-for-beginners/	Beginner Level	Graphic Design	Photoshop
Making Killer Images in Photoshop that WOW Clients!	https://www.udemy.com/killer-photoshop-images/	Intermediate Level	Graphic Design	Photoshop
Simple Photoshop CC: Smart Objects	https://www.udemy.com/simple-photoshop-cc-smart-objects/	Intermediate Level	Graphic Design	Photoshop
Zombie Apocalypse Photoshop Actions	https://www.udemy.com/zombie-apocalypse-photoshop-actions/	All Levels	Graphic Design	Photoshop
Advance Design of Logos and Brand Identity   	https://www.udemy.com/advance-design-of-logos-and-brand-identity/	All Levels	Graphic Design	Freelance
Learn Drawing and Painting a Landscape with Oil Colours	https://www.udemy.com/learn-drawing-and-painting-a-landscape-with-oil-colours/	Intermediate Level	Graphic Design	Drawing
Rock-Solid Brands	https://www.udemy.com/rock-solid-brands/	Beginner Level	Graphic Design	Freelance
